DateTime,Temperature,RH,Precip
2025-09-17 11:00:00+08:00,35.5,62,0.0
2025-09-17 12:00:00+08:00,35.0,61,0.0
2025-09-17 13:00:00+08:00,34.4,66,0.0
2025-09-17 14:00:00+08:00,33.3,71,0.0
2025-09-17 15:00:00+08:00,33.5,69,0.0
2025-09-17 16:00:00+08:00,32.6,72,0.0
2025-09-17 17:00:00+08:00,32.1,73,0.0
2025-09-17 18:00:00+08:00,31.7,74,0.0
2025-09-17 19:00:00+08:00,31.5,75,0.0
2025-09-17 20:00:00+08:00,30.9,77,0.0
2025-09-17 21:00:00+08:00,30.0,80,0.0
2025-09-17 22:00:00+08:00,30.3,79,0.0
2025-09-17 23:00:00+08:00,29.7,82,0.0
2025-09-18 00:00:00+08:00,29.4,82,0.0
2025-09-18 01:00:00+08:00,29.4,82,0.0
2025-09-18 02:00:00+08:00,29.2,81,0.0
2025-09-18 03:00:00+08:00,29.0,83,0.0
2025-09-18 04:00:00+08:00,28.2,84,0.0
2025-09-18 05:00:00+08:00,28.2,83,0.0
2025-09-18 06:00:00+08:00,27.8,82,0.0
2025-09-18 07:00:00+08:00,29.0,78,0.0
2025-09-18 08:00:00+08:00,31.5,71,0.0
2025-09-18 09:00:00+08:00,32.3,69,0.0
2025-09-18 10:00:00+08:00,33.0,67,0.0
2025-09-18 11:00:00+08:00,34.0,62,0.0
2025-09-18 12:00:00+08:00,35.5,60,0.0
2025-09-18 13:00:00+08:00,34.9,63,0.0
2025-09-18 14:00:00+08:00,34.0,66,0.0
2025-09-18 15:00:00+08:00,30.0,82,0.0
2025-09-18 16:00:00+08:00,28.2,85,0.5
2025-09-18 17:00:00+08:00,28.9,80,0.5
2025-09-18 18:00:00+08:00,29.5,78,0.5
2025-09-18 19:00:00+08:00,28.6,83,0.5
2025-09-18 20:00:00+08:00,28.6,82,0.5
2025-09-18 21:00:00+08:00,28.4,82,0.5
2025-09-18 22:00:00+08:00,29.0,80,0.5
2025-09-18 23:00:00+08:00,28.2,83,0.5
2025-09-19 00:00:00+08:00,28.8,81,0.5
2025-09-19 01:00:00+08:00,28.3,83,0.0
2025-09-19 02:00:00+08:00,28.2,83,0.0
2025-09-19 03:00:00+08:00,28.1,83,0.0
2025-09-19 04:00:00+08:00,28.2,82,0.0
2025-09-19 05:00:00+08:00,27.9,83,0.0
2025-09-19 06:00:00+08:00,28.2,82,0.0
2025-09-19 07:00:00+08:00,28.5,81,0.0
2025-09-19 08:00:00+08:00,30.2,75,0.0
2025-09-19 09:00:00+08:00,32.2,67,0.0
2025-09-19 10:00:00+08:00,33.8,62,0.0
2025-09-19 11:00:00+08:00,33.9,65,0.0
2025-09-19 12:00:00+08:00,35.4,61,0.0
2025-09-19 13:00:00+08:00,35.7,59,0.0
2025-09-19 14:00:00+08:00,34.8,63,0.0
2025-09-19 15:00:00+08:00,33.1,68,0.0
2025-09-19 16:00:00+08:00,26.3,89,13.0
2025-09-19 17:00:00+08:00,26.8,86,21.5
2025-09-19 18:00:00+08:00,26.5,86,22.0
2025-09-19 19:00:00+08:00,26.6,88,26.0
2025-09-19 20:00:00+08:00,27.2,85,26.0
2025-09-19 21:00:00+08:00,27.1,87,26.0
2025-09-19 22:00:00+08:00,27.2,86,26.0
2025-09-19 23:00:00+08:00,27.0,87,26.0
2025-09-20 00:00:00+08:00,27.2,85,26.0
2025-09-20 01:00:00+08:00,26.6,85,0.0
2025-09-20 02:00:00+08:00,26.7,84,0.0
2025-09-20 03:00:00+08:00,26.6,85,0.0
2025-09-20 04:00:00+08:00,26.3,85,0.0
2025-09-20 05:00:00+08:00,26.1,86,0.0
2025-09-20 06:00:00+08:00,26.2,84,0.0
2025-09-20 07:00:00+08:00,27.1,81,0.0
2025-09-20 08:00:00+08:00,29.2,75,0.0
2025-09-20 09:00:00+08:00,31.7,66,0.0
2025-09-20 10:00:00+08:00,33.9,58,0.0
2025-09-20 11:00:00+08:00,34.0,64,0.0
2025-09-20 12:00:00+08:00,35.2,58,0.0
2025-09-20 13:00:00+08:00,34.7,62,0.0
2025-09-20 14:00:00+08:00,33.3,64,0.0
2025-09-20 15:00:00+08:00,34.5,63,0.0
2025-09-20 16:00:00+08:00,32.6,67,0.0
2025-09-20 17:00:00+08:00,30.3,75,0.0
2025-09-20 18:00:00+08:00,29.3,78,0.0
2025-09-20 19:00:00+08:00,29.9,75,0.0
2025-09-20 20:00:00+08:00,28.6,79,0.0
2025-09-20 21:00:00+08:00,27.9,81,0.0
2025-09-20 22:00:00+08:00,27.8,81,0.0
2025-09-20 23:00:00+08:00,27.6,81,0.0
2025-09-21 00:00:00+08:00,27.6,82,0.0
2025-09-21 01:00:00+08:00,27.2,83,0.0
2025-09-21 02:00:00+08:00,27.0,83,0.0
2025-09-21 03:00:00+08:00,27.0,84,0.0
2025-09-21 04:00:00+08:00,26.7,84,0.0
2025-09-21 05:00:00+08:00,26.9,82,0.0
2025-09-21 06:00:00+08:00,26.8,82,0.0
2025-09-21 07:00:00+08:00,28.4,76,0.0
2025-09-21 08:00:00+08:00,30.4,68,0.0
2025-09-21 09:00:00+08:00,32.0,63,0.0
2025-09-21 10:00:00+08:00,33.8,57,0.0
2025-09-21 11:00:00+08:00,35.3,58,0.0
2025-09-21 12:00:00+08:00,33.6,62,0.0
2025-09-21 13:00:00+08:00,34.6,65,0.0
2025-09-21 14:00:00+08:00,34.8,65,0.0
2025-09-21 15:00:00+08:00,35.1,63,0.0
2025-09-21 16:00:00+08:00,35.6,60,0.0
2025-09-21 17:00:00+08:00,34.7,61,0.0
2025-09-21 18:00:00+08:00,34.1,63,0.0
2025-09-21 19:00:00+08:00,32.2,72,0.0
2025-09-21 20:00:00+08:00,31.2,75,0.0
2025-09-21 21:00:00+08:00,30.6,77,0.0
2025-09-21 22:00:00+08:00,30.1,78,0.0
2025-09-21 23:00:00+08:00,30.2,76,0.0
2025-09-22 00:00:00+08:00,29.6,79,0.0
2025-09-22 01:00:00+08:00,29.3,80,0.0
2025-09-22 02:00:00+08:00,29.3,80,0.0
2025-09-22 03:00:00+08:00,28.6,83,0.0
2025-09-22 04:00:00+08:00,28.2,83,0.0
2025-09-22 05:00:00+08:00,28.5,81,0.0
2025-09-22 06:00:00+08:00,27.8,82,0.0
2025-09-22 07:00:00+08:00,27.6,82,0.0
2025-09-22 08:00:00+08:00,30.1,74,0.0
2025-09-22 09:00:00+08:00,30.1,76,0.0
2025-09-22 10:00:00+08:00,31.0,72,0.0
2025-09-22 11:00:00+08:00,34.1,58,0.0
2025-09-22 12:00:00+08:00,36.0,51,0.0
2025-09-22 13:00:00+08:00,34.6,60,0.0
2025-09-22 14:00:00+08:00,34.2,62,0.0
2025-09-22 15:00:00+08:00,36.1,59,0.0
2025-09-22 16:00:00+08:00,35.4,62,0.0
2025-09-22 17:00:00+08:00,33.2,74,0.0
2025-09-22 18:00:00+08:00,32.7,71,0.0
2025-09-22 19:00:00+08:00,31.9,71,0.0
2025-09-22 20:00:00+08:00,31.8,69,0.0
2025-09-22 21:00:00+08:00,32.2,67,0.0
2025-09-22 22:00:00+08:00,30.6,69,0.0
2025-09-22 23:00:00+08:00,30.2,70,0.0
2025-09-23 00:00:00+08:00,30.4,68,0.0
2025-09-23 01:00:00+08:00,30.0,70,0.0
2025-09-23 02:00:00+08:00,29.7,73,0.0
2025-09-23 03:00:00+08:00,30.1,71,0.0
2025-09-23 04:00:00+08:00,29.4,76,0.0
2025-09-23 05:00:00+08:00,28.7,79,0.0
2025-09-23 06:00:00+08:00,28.5,80,0.0
2025-09-23 07:00:00+08:00,27.9,83,0.0
2025-09-23 08:00:00+08:00,27.9,86,1.0
2025-09-23 09:00:00+08:00,28.4,88,2.0
2025-09-23 10:00:00+08:00,28.1,85,2.5
2025-09-23 11:00:00+08:00,29.1,84,2.5
2025-09-23 12:00:00+08:00,28.8,86,3.0
2025-09-23 13:00:00+08:00,29.0,85,4.5
2025-09-23 14:00:00+08:00,29.2,82,5.0
2025-09-23 15:00:00+08:00,28.6,87,6.0
2025-09-23 16:00:00+08:00,28.4,88,6.5
2025-09-23 17:00:00+08:00,28.2,87,6.5
2025-09-23 18:00:00+08:00,28.1,88,6.5
2025-09-23 19:00:00+08:00,28.1,86,7.0
2025-09-23 20:00:00+08:00,27.8,88,11.0
2025-09-23 21:00:00+08:00,27.2,90,14.5
2025-09-23 22:00:00+08:00,27.0,90,15.5
2025-09-23 23:00:00+08:00,26.9,91,16.5
2025-09-24 00:00:00+08:00,27.2,89,17.5
2025-09-24 01:00:00+08:00,26.8,89,1.5
2025-09-24 02:00:00+08:00,27.1,87,2.0
2025-09-24 03:00:00+08:00,26.5,88,2.5
2025-09-24 04:00:00+08:00,26.6,89,3.0
2025-09-24 05:00:00+08:00,26.6,88,3.0
2025-09-24 06:00:00+08:00,26.6,88,3.0
2025-09-24 07:00:00+08:00,27.0,87,3.0
2025-09-24 08:00:00+08:00,27.4,86,3.0
2025-09-24 09:00:00+08:00,29.2,79,3.0
2025-09-24 10:00:00+08:00,30.5,75,3.0
2025-09-24 11:00:00+08:00,32.5,68,3.0
2025-09-24 12:00:00+08:00,32.9,65,3.0
2025-09-24 13:00:00+08:00,32.8,67,3.0
2025-09-24 14:00:00+08:00,32.1,70,3.0
2025-09-24 15:00:00+08:00,30.3,78,3.0
2025-09-24 16:00:00+08:00,31.0,75,3.0
2025-09-24 17:00:00+08:00,30.8,75,3.0
2025-09-24 18:00:00+08:00,30.5,77,3.0
2025-09-24 19:00:00+08:00,30.2,78,3.0
2025-09-24 20:00:00+08:00,29.9,78,3.0
2025-09-24 21:00:00+08:00,28.7,85,3.0
2025-09-24 22:00:00+08:00,28.2,84,3.0
2025-09-24 23:00:00+08:00,28.1,85,3.0
